track_id,artist_name,title,lyrics,emotion
TRAAAEW128F42930C0,Broken Spindles,Burn My Body (Album Version),"Burn my body I'm taking up space.
Burn and mix me with plaster or paint.
Burn my body I'm melting and done.
Burn and mix me with ink liar.
A charcoal grey something that won't leak or fade in on rusted bolts tied with barbed wire.
Burn my body I'm lifeless and numb.

Burn and mix me with clay or crayon.

Burn my body I'd like to breath on.

Burn and fix me with someone.

A burnt debt tight wet stain used to print my dissolved my formless mess to touch an ash cast mold made to bend and reform stone stay wax all those inclined to color sad.

Burn my body.

Burn my body.

Burn my body.",sadness
TRAAAFD128F92F423A,Gob,Face the Ashes,"I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there

His limb is red, I have all clear

Settle the wave I'm on my way

Dreaming of red, memories are worst



I feel abrasive worn and tired, don't think I could win

Take me to a place I adore and then seal me in

I'm not the one I swear I'm not, no matter how I felt

Die in a crossfire runaway, face the ash again

Someone is killing me",anger
TRAAAFI12903CE4F0E,Minni the Moocher,Rosi_ das Mädchen aus dem Chat,"[Music]
foreign
[Music]
hey folks here's a story about minnie
the moon
she was a low down huge
she was the roughest toughest frail
but minnie had a heart
as big as a whale
[Applause]
[Music]
[Applause]
[Music]
[Applause]
she messed around with a bloke named
smoke
she loved him though
he was cokey
he took her down to chinatown
and he showed her how to kick
the gong around
[Music]
[Applause]
[Music]
[Applause]
[Music]
[Applause]
she had a dream
about the king of sweden
he gave her things that she was needing
he gave her a home built of gold and
steel
a diamond car with the platinum wheels
[Music]
[Applause]
[Music]
foreign
[Music]
[Applause]
[Music]
[Applause]
each meal she ate was a dozen courses
had a million dollars worth of nickels
and dimes
she sat around and counted them all a
million times
[Applause]
oh
foreign
[Applause]",neutral
TRAAAFP128F931B4E3,F.L.Y. (Fast Life Yungstaz),Bands,"- THIS YOUR BOY
GREG STREET,
AK MR. SIX O'CLOCK.
WHAT'S UP MUSIC LINE?
IT'S FLY FAST LIFE
YOUNGSTERS, SURF'S UP
DEF JAM.
IT'S TIME TO CATCH A WAVE.
[DIGITAL BRASS STINGS]
[HIGH PITCHED STINGER]
♪ MAN I GOT THAT SWAG ♪
♪ MY HAT MATCHIN' MY BAG ♪
♪ YOU KNOW I'M POPPING TAGS ♪
♪ 'CAUSE MAN I GOT THAT SWAG ♪
♪ MAN I GOT THAT SWAG
(WHAT? WHAT? WHAT? WHAT?) ♪
♪ MY HAT MATCHES MY BAG
(WHAT? WHAT? WHAT? WHAT?) ♪
♪ YOU KNOW I'M POPPING TAGS ♪
♪ 'CAUSE MAN I GOT THAT SWAG ♪
♪ I SWAG, I SURF ♪
♪ NOW WATCH ME SURF THAT SWAG ♪
♪ I'M ON HYPNOTIC♪
♪ THIS POLO ON MY BODY
(MY BODY) ♪
♪ GOT A BAD GIRL BESIDE ME
(BESIDE ME) ♪
♪ AND HER FRIEND
RIGHT BEHIND ME ♪
♪ ANDI'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ ON PATRON, YEAH I'M ♪
♪ (WHAT? WHAT? WHAT?) ♪
♪ YEAH
(WHAT? WHAT? WHAT?) ♪
♪ AND YOU KNOW I'M ON ♪
♪ CAUSE I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ OKAY I POP OFF IN THE CLUB
WITH A POCKET FULL OF BANDS ♪
♪ BIG STUPID FRESH LIKE
I'M WRAPPED UP IN SARAN ♪
♪ SWAG SUPER COOL, LIKE A FAN ♪
♪ AND MY CHAIN SHINING HARD
IT JUST GAVE MY NECK A TAN ♪
♪ POCKETS ON POPEYE
CAUSE THEY SWOLL
OF THAT SPINACH ♪
♪ PEACH-TREE SWAG
YOU CAN CALL ME MR. LENOX ♪
♪ BOTTLES IN MY HAND,
PUTTING ON JUST LIKE CABLE ♪
♪ SURFING OFF THE STANDS
LIKE A YOUNG KELLY SLATER ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ NOW WATCH ME
SURF (SWAG)
AND SWAG (OKAY) ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ I SWAG (SWAG)
WHEN I SURF (SURF) ♪
♪ NOW WATCH ME
SURF (SWAG)
AND SWAG (OKAY) ♪
♪ SWAGGING IN THE CLUB
YOU GON' SEE ME
THROWING MONEY UP ♪
♪ CATCH ME WITH A BAD CHICK ♪
♪ AND ALL HER FRIENDS
AS FINE AS HER ♪
♪ DRINKS, WE GON' POUR THEM UP ♪
♪ WHAT WE UP ♪
♪ PATRON, GOOSE, OR HENNESSY ♪
♪ THEY GOT IT,
I'MA DRANK IT UP ♪
♪ I'M ALWAYS WEARING POLO ♪
♪ I'M RALPH LAUREN MASCOT ♪
♪ CAKE ON DEBIT
I DON'T HESITATE TO CASH OUT ♪
♪ PAINT JOHN STEPHENSON,
THE BLACK AND BLUE JAG OUT ♪
♪ POCKETS ON HALF-TIME,
I'M ALWAYS BRINGING BANDS OUT ♪
♪ I'M ON HYPNOTIC
(HYPNOTIC) ♪
♪ THIS POLO ON MY BODY
(MY BODY) ♪
♪ GOT A BAD GIRL BESIDE ME
(BESIDE ME) ♪
♪ AND HER FRIEND
RIGHT BEHIND ME ♪
♪ AND I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ II'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ ON PATRON, YEAH ♪
♪♪♪
♪ YEAH ♪
♪♪♪
♪ AND YOU KNOW I'M ON ♪
♪ CAUSE I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ WHEN I HIT THE CLUB,
IT'S LIKE I GOTTA CATCH A WAVE
(WAVE) ♪
♪ BOOGIE-BOARD SHAWTY,
GOT ME SURFING OFF THE STAGE
(STAGE) ♪
♪ SOMETHING LIKE
AN EDDIE BAUER ♪
♪ AND I'M SURFING
LIKE I'M OTTO ♪
♪ CAUSE I GOT THAT
ROCKET POWER (POWER) ♪
♪ PATRON, TAKE IT ♪
♪ LIKE A CAMERA (CAMERA) ♪
♪ FLAT SCREEN, SHAWTY,
MAN I'M SURFING LIKE A CHANNEL
(CHANNEL) ♪
♪ PAPER TOWEL MONEY,
MAN I'M ALL ABOUT MY COUNT ♪
♪ AND I'M SCREAMING COWABUNGA
WHILE Y'ALL BOYS WIPING OUT ♪
♪ GOT THIS POLO ON MY BODY
WITH A ZACH MORRIS SWAG ♪
♪ YEA PURPLE LABEL MAN
GO AND CHECK THE TAGS
(THE TAGS) ♪
♪ WENT AND GOT THE SHOES
SO YOU KNOW
I GOT THE BAG (BAG) ♪
♪ CLEAN JUST LIKE DISH DETERGENT
WITH A TIDE COLOR SWAG
(TIDE COLOR SWAG)♪
♪ CHAIN SWINGING HARD
LIKE A BOXER THROWING PUNCHES ♪
♪ PAPPADEAUX SHAWTY,
ALL ON THEM SACK LUNCHES ♪
♪ I'M IN THE PARTY SURFING
LIKE I'M STANDING ON A WAVE ♪
♪ SHAWTY CHECK MY DOUGIE
LIKE SHE PATTY MAYONNAISE ♪
♪ I'M ON HYPNOTIC
(HYPNOTIC)♪
♪ THIS POLO ON MY BODY
(MY BODY) ♪
♪ GOT A BAD GIRL BESIDE ME
(BESIDE ME) ♪
♪ AND HER FRIEND
RIGHT BEHIND ME ♪
♪ AND I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ ON PATRON, YEAH
(PATRON) ♪
♪♪♪
♪ YEAH ♪
♪ AND YOU KNOW I'M ON ♪
♪ CAUSE I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M SWAGGING, (SWAG)
I'M SURFING (SURF) ♪
♪ I'M CLEAN
LIKE DISH DETERGENT ♪
♪ (WHAT? WHAT? WHAT? WHAT?
WHAT? WHAT? WHAT? WHAT?) ♪

♪ (WHAT? WHAT? WHAT? WHAT?
WHAT? WHAT? WHAT? WHAT?) ♪",surprise
TRAAAGR128F425B14B,Cyndi Lauper,Into The Nightlife,"Got this endless itch to ride
Into the night
Fortune cookie says i'm right
Kung Foo like
Shake your body Mister

Gonna make ya body blister, say hey, hey, hey

Don't wanna have ta make ya

I don't wanna have ta shake ya down, hey, hey, hey



I'll take ya till ya all spun up

Pitter, patter doesn't matter what you got

I'll take ya till ya all spun up

And in love

And into the night life

I'll take ya till ya all spun up

And in love

And into the night life



Want to dress for you tonight

Under the light

Shot up like a satellite

Into the night

Shake ya money maker

I will never ba a faker now, hey hey hey

Leave 'em standing waitin'

Till they're practically faintin' now, hey hey hey



I'll take ya till ya all spun up...



Shirtless wonders wreck my sight

Under the light......",fear
TRAAAHJ128F931194C,Devotchka,The Last Beat Of My Heart (b-side),"In the sharp gust of love
My memory stirred
When time wreathed a rose
A garland of shame
Its thorn my only delight
War torn, afraid to speak

We dare to breathe

Majestic

Imperial

A bridge of sighs

Solitude sails

In a wave of forgiveness

On angels' wings



Reach out your hands

Don't turn your back

Don't walk away

How in the world

Can I wish for this?

Never to be torn apart

Close to you

'Til the last beat

Of my heart



At the close of day

The sunset cloaks

These words in shadowplay

Here and now, long and loud

My heart cries out

And the naked bone of an echo says

Don't walk away



Reach out your hands

I'm just a step away

How in the world

Can I wish for this?

Never to be torn apart

Close to you

'Til the last beat

Of my heart



How in the world

Can I wish for this?

Never to be torn apart

'Til the last beat

'Til the last fleeting beat

Of my heart",fear
TRAAAHO128F423BBE3,Biohazard,What Makes Us Tick (Live) (Album Version),"What makes us tick
Are we mentally sick
Feeling inside that drive us like pride
Or emotional scars from our friends that have died
And make us build walls so incredible high
They exceed the ceiling from the terrified feelings

Which we often repress and end up depressed

Some vent it as rage, it's the fashion these days

In a twisted society, we drown in anxiety

Has push come to shove, have we killed the dove

Are we caught in a fit, what makes us tick

Has man gone insane, are we feeling the strain

We must dig and must pick at what makes us tick

Has push come to shove, have we killed the dove

Are we caught in the thick as to what makes us tick

Can you feel the pain that I feel

No

So let me tell you about what is real

Go

The pain inside, it kills me, I cry

So

What is it that makes us tick

Can you hear the cries that I cry

Why

Leave me alone, I'm ready to die

Die

For me I lie to myself

Just what is it that makes us tick",fear
TRAAAHZ128E0799171,Snoop Dogg,The One And Only (Edited),"Aw yeah, coming to you live and direct from the LBC
We have the one and only, Snoop D-O double G
Yeah, yeah, drop it
[scratching]
It's the one and only D-O double G

Big Snoop Dogg, it's the one and only

The one and only, D-O double-double-double G



[Snoop Dogg]

Big Snoop Dogg

You in the presence of a motherfucking rap star

I push up laid back in a black car

Though I bossed up, it ain't hard to tell that

I came up hard as hell, check it out

I stayed sharp and played my part

All I had was a mic, a dream and some heart

Me and my moms wasn't getting along at this time

And since pops was gone, I'm out grinding

Catch a nigga praying, swearing I ain't going back to jail

Judge about tired of a playa, I don't know about this bidness shit

But I'm good with this rapping, can I get a witness what's happening

That's about the time I put down the rocks

And got to working in the studio around the clock

For a small profit, but a whole lot of game

Man I'm famous, now it ain't the same



Chorus

It's the one and only D-O double G

Do you want some of this

Top Dogg bite em all, yeah I'm burning it up

Aw naw, Big Snoop Dogg

You tuned in to the number one

Buck one, buck two, buck three, buck four

So get real fool, fool



[Snoop Dogg]

Local boy made good over night shit

Not only am I getting righteous but wise see

I paid the price, with consecutive platinum hits

I up my status, aint no more Calvin Broadus

World on my shoulder, but I can handle it

Now that I'm older, I'm sharper and colder

Can you remember when I slid in Deep Cover

And made niggas in the Beach love eachother

A street hustler, but I'm all set for the come up

Best kept secret so I'm want up

I've been acquitted up for 1-8-7

Yes I'm blessed thank God in Heaven

Now all I need is a push in the right direction

Weed and a mic now I'm writing checks

And now the game ain't stopping

And can't nobody say my name ain't popping

Started off young as a little-bitty buck

Now I'm ready for the world, and I got to give it up



Chorus



[Snoop Dogg]

You in the presence of a motherfucking millionaire

Stop, look, listen, feel, yeah I ain't tripping on shit

I worked hard as a motherfucker

Fuck Cuzz, and him too cause all y'all suckas

Now with the savvy of a business man

I gave, new niggas a chance, to see what they was saying

And kept a spot on hot, West Coast on lock

Big Dizzel knocking down your block

Never looking back uh uh, a steady process

And leaving that way, cause see I'm blessed

It's like I'm happy now, cause I'm a family man

I fell in love with my kids and my wife again

And these here are the files of a classic

It's my throne till I choose to pass it

Worldwide and the sun shine so bright

That's why I wear my yellow C's at night nigga



Chorus",anger
TRAAAIC128F14A5138,The Badloves,Slave,"[Music]
all right
listen to the sounds of the revolution
[Music]
everybody's cool
but everything's all right
you better pray that you're old man
[Music]
set the wheels in motion here tonight
yeah everybody's cool
everything's all right
[Music]
no need to get up tight
i got room to spare
for profits and streets
[Music]
and everything's all right
[Music]
i gotta feel it
[Music]
i'm yeah
[Music]
black money
[Music]
[Applause]
[Music]
everybody
[Music]
everybody
[Music]
you",neutral
TRAAAIR128F1480971,Paris Hilton,I Want You (Album Version),"Excuse me I think I seen you on the dance floor
Excuse me I think there playin' one of our songs
I seen you you've been here a lot of times
And you've been on my mind cause baby your just so damn fine
What do you say
What will it take

To make you see that I'm not playin'



I want you

and I think you should know

I want you

and I wont let you go

Cause I'm the kind of girl who likes to tell you what I want in life

Get you right into things wont you like that anyway

I want you

so before you go home

And you leave here alone

I thought you should know



I'm not playin'



I want you

and I think you should know

I want you

and I wont let you go

Cause I'm the kind of girl who likes to tell you what I want in life

Get you right into things wont you like that anyway

I want you

so before you go home

And you leave here alone

I thought you should know



(Thanks to j Slander for these lyrics)",neutral
TRAAAJG128F9308A25,Malvina Reynolds,Tungsten (only issued previously on 45),"so I wrote a song called No hole in my
head the kids like
[Music]
it everybody thinks my head's full of
nothing wants to put his special stuff
in fill his face with candy
rappers keep out sex and
Revolution but there's no hold in my
head too
bad call me a d of this and the other
call me a puppet on a string they they
don't know my head's full of me and that
I have my own special thing and and
there's no hope in my
[Music]
head I have lived since early
childhood figuring out what's going
on I know what hurts I know what's
easy when to stand and when to run and
there's no
in my
head too
[Music]
bad so please stop shouting in my ear
there's something I want to listen to
their a kind of bird song up somewhere
there feet walking the way I mean to go
and there's no hold in my
[Music]
everybody thinks my head full of
nothing want to put his special stuff in
there a space with candy
robers he about sex and Revolution my no
hole in my head
goodbye
[Music]",sadness
TRAAAJN128F428E437,Frankie Goes To Hollywood,Welcome to the Pleasuredome,"The world is my oyster........
Ha ha ha ha ha........
The animals are winding me up
The jungle call
The jungle call



Who-ha who-ha who-ha who-ha



In Xanadu did Kublai Khan 



A pleasuredome erect

Moving on keep moving on-yeah

Moving at one million miles an hour

Using my power

I sent it by the hour

I have it so I'm mocking it

You really can afford it-yeah

Really can afford it



Shooting stars never stop

Even when they reach the top

Shooting stars never stop

Even when they reach the top



[Repeat]



There goes a supernova

What a pushover-yeah

There goes a supernova

What a pushover



[Repeat]



[1]-We're a long way from home

Welcome to the Pleasuredome

On our way home

Going home where lovers roam

Long way from home

Welcome to the Pleasuredome



Moving on

Keep moving on



I will give you diamonds by the shower

Love your body even when it's old

Do it just as only I can do it

And never ever doing what I'm told



Keep moving on

Got to reach the top 



Don't stop

Pay love and life-oh my

Keep moving on

On again-yeah



Shooting stars never stop

Shooting stars never stop



Shooting stars never stop

Even when they reach the top

There goes a supernova

What a pushover



[Repeat]



[Repeat 1]



Who-ha who-ha

Welcome to the Pleasuredome



WELCOME........ha ha ha ha ha........



Long way from home

WELCOME TO THE PLEASUREDOME",surprise
TRAAAJO12903CAAC69,Tony Bennett,Stranger In Paradise,"Take my hand
I'm a stranger in paradise
All lost in a wonderland
A stranger in paradise
If I stand starry-eyed
That's the danger in paradise

For mortals who stand beside an angel like you



I saw your face and I ascended

Out of the commonplace into the rare

Somewhere in space I hang suspended

Until I know there's a chance that you care



Won't you answer this fervent prayer

Of a stranger in paradise?

Don't send me in dark despair

From all that I hunger for



But open your angel's arms

To this stranger in paradise

And tell him that he need be

A stranger no more",fear
TRAAAMG128F9318C5E,EST,Non Lo Saprai Mai,"it breaks my heart cause I know you're
the one for me
don't you feel sad there never was a
story obviously
never be
and you will never know
I won't ever show
what I feel what I need from you know
and you will never know
I won't ever show
what I feel what I need from you
and with every smile comes my reality
irony
you won't find out what has been killing
me can't you see me
can't you see
and you will never know
I won't ever show
what I feel what I need from you know
and you will never know
I will never show
yeah
what I feel what I need from you no no
you never know
I will never
show
what I feel what I need from you no no
no no no no you'll never know no no no
no no you'll never know no no no no no
love me love me
and you will never know
I will never show
what I feel what I need from you no no
never know
I will never stop
happy
what I need what I need from you know",sadness
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),"You're watching,
When ""Keeping it Real""
Goes Wrong.
Vernon Franklin was
an exceptional young man.
He was the valedictorian
of his high school class,
won several scholarships,
and became the first person
in his family to attend college.
He got a good job and worked
14-hour days, 6 days a week,
quickly becoming
the youngest vice president
in the history
of the Via Corp Corporation,
ending the cycle of violence
and drug addiction
that had plagued
his family for generations.
The officers of his company
were wrapping up the usual
Thursday meeting
in the South Conference Room
when Frank Murphy,
the man who had mentored Vernon,
made an awkward comment.
Vernon, great job, buddy.
You the man.
Give me some skin, huh?
Vernon got along with all
of the people he worked with,
which in his heart of hearts
made him feel like an Uncle Tom.
Though he could have ignored
the simple comment
his mentor made,
Vernon decided to keep it real.
Get your motherfucking hand
out of my face.
You heard me, motherfucker.
Get your hands outta my face.
What you think this is, man?
Just shake my hand like a man.
""All right, give me some five
on the backhand side
with all this crazy jive.""
It's bullshit.
Want a little soft shoe?
Should I juggle some
watermelons for you, boss?
Fuck all that, nigger.
Hey, Vernon, buddy.
Get your motherfucking hands
off me, Frank.
This ain't a game.
This isn't the Vernon I know.
Allow me to reintroduce myself.
My name is Hov
You never heard that before,
have you?
Rap music is dangerous.
I used to beat motherfuckers up
just like you just for
walking around my way, nigger.
Vernon, Vernon, buddy.
You better sit the fuck down,
Frank.
Excuse me?
I said sit down, bitch.
Thug life.
You think this
is a game, nigger?
Wu-Tang.
Today, Vernon works
at Sonny's Fill 'Er Up
on Route 80 in New Jersey.
He makes $6.45 an hour
and stinks of gasoline,
even when he's not
at the station.
It's as real as it can be.
Dollar? What I'm gonna
get with a dollar, nigger?
I got kids,
and that's real.
Vernon Franklin, once a heart-
warming story of perseverance.
Wu-Tang.
Today, a sparkling example
of when keeping it real
goes wrong.",neutral
TRAAAND12903CD1F1B,Dataphiles,Drillbit,"[Music]
[Applause]
[Music]
you can find
cause that designer
[Music]
and you're not even listening
[Music]
don't tell me to go slow
[Music]
I'm trying
[Music]
I say you're responsible
[Music]
and the fact is
[Music]
foreign
[Music]
responsibility
[Music]",neutral
