Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Duration (ms),Experimental_Category,Brainwave_Type,Purpose,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
spotify:track:1SuOsKY9fLaSxBCjAq4Ibp,Binaural Beats Focus,spotify:artist:3UDxdbAXqqKJG1pWgUgOCp,Study Alpha Waves,47,[],Binaural Beats Focus: Binaural Beats Study Music and Alpha Waves Concentration with Ocean Waves,22,124000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0pBjP9lPN7PgoqpYNS5UWQ,Binaural Beats Focus,spotify:artist:6NVTfMNP8uBHUDCsHm1oqi,Entrainment,61,[],Overcome,35,171139,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0kfstDZX5PVMWN8wko5IZd,As in Gardens so in Tombs,spotify:artist:0rWmH68lIyVOGYhhvayFzu,...And Oceans,30,"['black metal', 'industrial metal']","As in Gardens, So in Tombs",19,256694,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0u1mnbJLFDj8hijn6Fk4eO,12.5 Hz Focus - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Focus (Alpha Waves),62,134624,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5GjR5BRmkB6kyn0dbMH5TH,Gateway to Heaven,spotify:artist:6iHSltDqfgNpviGsNMlDKx,Digital Flair,0,[],Dynamic Range Compression,1,229355,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6YXLVPezfZ5cs3p2alDYB9,City Of Dreams,spotify:artist:42D7ruMnjM6a8FkXkxPDzT,BobbyAI,17,[],Into The Neon: Extension Upload,3,186960,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:74I8ev3qLp1dmT6Y0Eh24r,Unleavened,spotify:artist:15CmJEjTh0f4PyD36UZgNy,Collapse//Revive,17,['christian rock'],Unleavened,17,201200,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1pRvdHvpXSrPw0ZepBIyns,12 Hz Super Learning - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Focus (Alpha Waves),62,130937,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3WtrPhm050B8X9supJFbEY,As in Gardens so in Tombs,spotify:artist:0rWmH68lIyVOGYhhvayFzu,...And Oceans,30,"['black metal', 'industrial metal']","As in Gardens, So in Tombs (Deluxe Edition)",5,256694,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3Q5YkYi0V924Y2tB1kTw5E,11 Hz Flow State - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Focus (Alpha Waves),62,120374,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4zxTLBlDyOxvSFWcXfDhuK,8 Hz Alpha Waves - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Focus (Alpha Waves),61,157500,focus,Alpha (8-12Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0LgplLtg4g8N8paUWEz7GK,10 Hz Stress Reduction - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Focus (Alpha Waves),62,125374,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3ZEZ4QFFlXdxCkIIFrwRCZ,Jordan,spotify:artist:7Fe4vD5WyjtFxlxSO0d7lP,Complete,47,['aussie drill'],While We Wait,30,167113,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:44HWVk8c2nfDCc2lvgb68m,40 Hz Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],40 Hz Focus Music (Binaural Beats),56,190000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0pbQEkDVF80VZBUHLmrdaz,All Eyes on Me,spotify:artist:6jDwZUFYUH1dC4xWzOd8QU,Caleb Hyles,60,[],All Eyes on Me,41,240000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1ZXAA7i6oF92zueTYzlv5u,Tonkaka,spotify:artist:7yYOTpthPnaAP6tYRfI3AS,Alien Skin Official,33,['gengetone'],Tonkaka,19,174053,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3howeXxDCxeP1UWfXM7aAr,Focus Music,spotify:artist:0rV884TJaWtmnJf392FG6e,Binaural Beats Study Music,47,[],"Binaural Beats Focus: Study Alpha Waves, Isochronic Tones, Theta Waves, Delta Waves and Ambient Music For Studying, Focus, Concentration and Background Music For Reading",34,112433,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0LqbZADi92Hi4JBNIoLqpV,Relating,spotify:artist:5YOv0H9RZYWaympdXEiaTF,NM REM,11,[],All About Rem,0,138174,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:2Umf3B7gYhkocbveXW35Ui,40 Hz Deep Focus,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],40 Hz Focus Music (Binaural Beats),53,208000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:63SvuIM9L3ONAcYS2ODUoN,Binaural Beats (Restful Sleep),spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",44,122723,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6b5mdCKyPveuHjUMaCcxPt,40 Hz Focus Frequency,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],40 Hz Focus Music (Binaural Beats),54,210000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1IM6un6pmD6X1IbbIhmIYK,What Now,spotify:artist:0spHbv2fw49lDMkbOAdaqX,WWE,68,[],WWE: You Can't See Me,20,269840,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0RJ3TLhRbTQuMHZQxBVd0a,Sleepless,spotify:artist:29fBae9lZFj6dXWykkpSsX,Fuck The Facts,14,"['grindcore', 'mathcore']",Disgorge Mexico,1,286906,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0elEWikL3qJ0EhcYLBOKV9,Supposed to Be,spotify:artist:1lpYFtlybuldYAw2IyXjyI,Sangarang,23,[],Supposed to Be,9,137484,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5AARqk2H7qFJExRiARrrbj,Rain,spotify:artist:5nUtFGhjZOquiwjJ4b0rjy,Auto SAF,17,[],Rain,8,172165,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:55Wb5rQmoDN0XnwcjkJgDz,40 Hz Improve Memory,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],40 Hz Focus Music (Binaural Beats),54,212480,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:2PmCqlhuxdpgUhroL6xDLO,40 Hz Study Music,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],40 Hz Focus Music (Binaural Beats),55,218000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3tutiIJiTF49uq0XbxM3QZ,scrape by,spotify:artist:0Qta34kIeeonfyC692s5b8,Rothstein,26,[],GOSSIP,1,195640,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:2cQDEktZdK8Secwsj4mp9c,Cigar Smoke (feat. King Sevin),spotify:artist:3cvKNz7BwIY404XtZ5tpUW,Troy Ave,48,[],New York City,13,255609,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:510SAQVymnFSFVEIx3rAQM,Blood,spotify:artist:57UnSUpae3SbRekxNa5Kgl,El-P,58,['experimental hip hop'],Fantastic Damage,16,266706,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0SwQvUL1itONmEfwvELokQ,3 Hz: Deep Sleep (Delta Waves),spotify:artist:63kwdbdX8dCCyiJGJTlIM1,Miracle Healing Tones TP,54,[],3 Hz: Binaural Beats (Delta Waves),46,137160,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0tPuFBwxHeJ4XizUCfmlNw,Binaural Beats (Deep Sleep),spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",45,121626,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5HOxy6bdXrKJmWkZ4yNSVj,Mozart Effect,spotify:artist:2lwe485psVX32oqYHhzFbP,Study Music Project,49,[],Ancient Libraries,40,64000,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:23ZArgJyzjrMe1cgNTdZrV,Lo Fi No Lyrics Music,spotify:artist:7xxrAPVVTZaXLTXfvwABVF,Lo Fi Hip Hop,41,"['lo-fi', 'lo-fi hip hop']",Lo Fi Hip Hop Music 2025 Uplifting Lofi (Instrumental),31,181150,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:36lzrgDGa8P5nu902UcxQV,30 Min Deep Sleep Music,spotify:artist:4XbcXL8SaLFZ30wfRM5tbB,Sleep Fruits Music,71,[],30 Min Deep Sleep Music,26,1818000,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4EpqIH5WVZ0Rr5mNgFjR35,Binaural Sleep Music,spotify:artist:2DvbYXMiUAQuupPEQnIt1I,Alpha Brain Waves,56,[],"Brain Waves Sleep: Binaural Beats Sleeping Frequencies for Deep Sleep, Calm Solfeggio Sleeping",28,123107,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3FbHRGwmunrmiTc3m788vh,Binaural Sleep,spotify:artist:6mL2ScB9h0vU01mqpXQlvf,Binaural Beats Sleep Music,12,[],"Alpha Sleep Waves: Deep Sleeping Frequencies For Total Sleep Beats, Healing and Full Nights Sleep",8,105941,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:48c3SvDDyx3X9kNWpxIzRw,Binaural Beats for Deep Sleep,spotify:artist:2DvbYXMiUAQuupPEQnIt1I,Alpha Brain Waves,56,[],"Brain Waves Sleep: Binaural Beats Sleeping Frequencies for Deep Sleep, Calm Solfeggio Sleeping",27,123565,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6Lir2q6To3PpO7DzpvkCu1,Sleep Music: Binaural Beats for Deep Slumber,spotify:artist:5fEs2L5wUZDsFQ01NzZPzP,Beatwaves,38,[],Sleeping Binaural Beats: Frequency Waves for Good Nights,3,123359,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1Hn5UX9z0wcG5TH8H2R7Db,Deep Sleep Binaural Beats Relaxation Music,spotify:artist:5fEs2L5wUZDsFQ01NzZPzP,Beatwaves,38,[],Sleeping Binaural Beats: Frequency Waves for Good Nights,3,123481,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4SNblLfSnDT2JKQAoIznL7,Relaxing Binaural Beats Music for Sleep,spotify:artist:2DvbYXMiUAQuupPEQnIt1I,Alpha Brain Waves,56,[],"Brain Waves Sleep: Binaural Beats Sleeping Frequencies for Deep Sleep, Calm Solfeggio Sleeping",24,125583,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:72BCbCi6fbqhgX2OM91TSX,Binaural Beats Sleep Music,spotify:artist:2DvbYXMiUAQuupPEQnIt1I,Alpha Brain Waves,56,[],"Brain Waves Sleep: Binaural Beats Sleeping Frequencies for Deep Sleep, Calm Solfeggio Sleeping",28,129619,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5IcSRQm7DL9nbeC36xjywE,Binaural Beats,spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",32,122226,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5FKEefHYTTVZaeuXaVrkEG,Binaural Beats for Insomnia Relief and Deep Sleep,spotify:artist:5fEs2L5wUZDsFQ01NzZPzP,Beatwaves,38,[],Sleeping Binaural Beats: Frequency Waves for Good Nights,3,122453,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4mGHSHWbRK8MeiZcFhzjvX,Binaural Beats for Deep Sleep and Anxiety Relief,spotify:artist:5fEs2L5wUZDsFQ01NzZPzP,Beatwaves,38,[],Sleeping Binaural Beats: Frequency Waves for Good Nights,3,123319,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:2dsPYdcL9KKG0ZI2FStaWL,Binaural Beats (Delta Waves),spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",51,120999,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3uwaqhEnBoYHIxooQ3UfwZ,Sleeping Music,spotify:artist:3OFIF1yxHyZ5qUSyxgeLM8,Binaural Beats Deep Sleep Academy,29,[],"Binaural Beats: Binaural Beats For Sleep, Ambient Brainwave Therapy, EMDR, Alpha Waves, Isochronic Tones, Deep Sleep and Healing Music For Relaxation",10,129000,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4Rc07DM9AVT6eRwvR3LVE7,Binaural Beats Sleeping Music,spotify:artist:2DvbYXMiUAQuupPEQnIt1I,Alpha Brain Waves,56,[],"Brain Waves Sleep: Binaural Beats Sleeping Frequencies for Deep Sleep, Calm Solfeggio Sleeping",26,126592,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3D0DKHqbGd5CDmay4uhDWm,Binaural Beats for Deep Sleep,spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Binaural Beats: Soothing and Ambient Sleep Sounds of Alpha Waves, Isochronic Tones, Brainwave Entrainment and Sleeping Music",38,144168,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5gVvMHb2vzVsDpO0Xy3UZZ,Binaural Beats (Sleeping Music),spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",34,123167,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6kQkejaJwYjF3XzIlHh2st,Binaural Beats Sleep,spotify:artist:6NVTfMNP8uBHUDCsHm1oqi,Entrainment,61,[],Binaural Beats Sleep,38,133385,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6PeUdhaDuRPAsK9Rt4fy52,Binaural Beats (Sleep Aid),spotify:artist:5C95YXNLyaqbZjhwXMjZ4r,Binaural Beats Sleep,56,[],"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",35,122070,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6MrD4KIOvC7t2RyghovJbT,3.2 Hz Healing Sleep - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Sleep (Delta Waves),64,129020,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4GMI1XsdwrFikfuvI9BBty,Feel Free,spotify:artist:50nN8IFD4xA67fI4jYbLV4,Kano,54,"['grime', 'uk grime']",London Town,14,242373,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1x0wsc1w83gfYRf4UgMvQm,3 Hz Access to Unconscious Mind - Binaural Beats,spotify:artist:4rXABp4A7KjG9elWFNAbO4,Miracle Tones,85,[],Binaural Beats - Sleep (Delta Waves),62,139770,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0EZbC1gf76X3B5AAnqwjR8,Autumn Blue,spotify:artist:1QprS7HHiJycFXDhzUVd33,5 Fingers of Funk,4,['funk'],Slap Me 5,6,234320,sleep,Delta (0.5-4Hz),sleep,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
