Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Mental_Health_Benefit,Musical_Features
Alag Aasmaan,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Alag Aasmaan,72,0.699,0.299,6,-12.599,1,0.0403,0.869,0,0.0724,0.459,118.968,212750,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Blue Eyes,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Blue Eyes,71,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,220943,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Call Aundi,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Zorawar,60,0.656,0.701,10,-4.964,0,0.0387,0.578,0,0.137,0.664,159.934,216549,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Aankhon Aankhon,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Bhaag Johnny,61,0.746,0.988,10,-4.565,0,0.0637,0.29,0.00218,0.131,0.61,130.042,244831,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Brown Rang,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",International Villager,66,0.804,0.902,11,-3.067,0,0.0846,0.265,0.000402,0.065,0.72,155.98,211394,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Waqt Ki Baatein,Dream Note,51,"['desi pop', 'hindi indie', 'indian indie']",Waqt Ki Baatein,61,0.556,0.202,4,-16.397,1,0.0324,0.915,0.0381,0.112,0.2,145.017,243310,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Gul,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Gul,71,0.6,0.294,6,-12.301,1,0.0292,0.871,8.66E-05,0.102,0.342,86.97,217250,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Dheere Dheere,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Dheere Dheere,70,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48E-05,0.0703,0.55,167.915,212412,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Maan Meri Jaan,King,70,"['desi pop', 'hindi hip hop']",Champagne Talk,73,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,194653,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Mazaak,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mazaak,64,0.535,0.462,2,-11.291,1,0.0296,0.79,2.07E-06,0.114,0.23,145.959,212062,neutral,neutral,neutral
Ektarfa,King,70,"['desi pop', 'hindi hip hop']",Ektarfa,59,0.748,0.472,0,-9.266,0,0.125,0.596,1.10E-05,0.102,0.364,149.97,230903,Anger,"Anger Management, Tension Release","Dynamic Rhythm, Complex Harmony, High Intensity"
Payal,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,65,0.819,0.663,10,-6.976,0,0.1,0.643,0.00012,0.202,0.736,98.022,226751,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Desi Kalakaar,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,73,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,253352,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Dope Shope,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",International Villager,66,0.756,0.91,6,-1.988,1,0.0556,0.44,3.22E-05,0.066,0.861,136,193608,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Baarishein,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Baarishein,75,0.476,0.124,2,-9.463,1,0.0443,0.927,0,0.0972,0.19,94.299,207312,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
"Yaar Naa Miley (From ""Kick"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,65,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,243206,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
"Chaar Botal Vodka (From ""Ragini Mms 2"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,63,0.877,0.881,4,-3.713,0,0.0713,0.421,0.000345,0.12,0.874,123.024,225837,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Millionaire,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,79,0.749,0.828,7,-5.609,0,0.142,0.472,6.24E-05,0.231,0.398,95.981,199114,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Love Dose,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,72,0.843,0.768,11,-4.554,0,0.117,0.256,0,0.614,0.662,139.998,224444,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
One Bottle Down,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",One Bottle Down,65,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966,196556,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
"Vigdiyan Heeran (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,65,0.759,0.82,9,-4.69,0,0.0408,0.527,0,0.11,0.758,97.979,197295,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Co2,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,69,0.533,0.678,1,-5.244,1,0.0256,0.663,0,0.145,0.683,80.96,163653,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Top Class / Overseas,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Street Dreams,62,0.549,0.887,11,-4.455,0,0.332,0.293,0,0.37,0.623,123.66,288000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
"Party All Night (From ""Boss"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,61,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,282792,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Chaand Baaliyan,Aditya A,61,"['desi pop', 'hindi indie']",Chaand Baaliyan,70,0.729,0.396,0,-8.98,1,0.0359,0.796,0,0.104,0.886,97.281,103264,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
"Sunny Sunny (From ""Yaariyan"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,61,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Tu Jaana Na Piya,King,70,"['desi pop', 'hindi hip hop']",NEW LIFE,64,0.691,0.709,9,-6.136,1,0.0301,0.359,0,0.149,0.395,102.012,226029,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Aaoge Tum Kabhi,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,69,0.534,0.863,0,-4.616,1,0.0356,0.015,0.0167,0.144,0.374,98.035,313163,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Dil Mere,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,61,0.655,0.473,8,-9.806,1,0.0267,0.842,0.032,0.167,0.572,92.964,211290,neutral,neutral,neutral
TERE HO KE,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,63,0.564,0.656,7,-5.512,0,0.11,0.733,0,0.0887,0.17,132.967,223200,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Hola Amigo,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",FAR FROM OVER,62,0.913,0.62,8,-6.098,1,0.0921,0.179,0,0.17,0.657,140.058,226285,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Liggi,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Dev,62,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,181176,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Chorni,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Chorni,65,0.782,0.676,7,-6.712,1,0.339,0.133,0,0.122,0.615,90.447,181000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Kasoor,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Kasoor,63,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36E-06,0.0799,0.444,107.047,197549,neutral,neutral,neutral
Jatt Mehkma,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,69,0.622,0.768,0,-5.952,1,0.0648,0.0451,0,0.305,0.447,85.954,195115,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Mishri,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mishri,62,0.534,0.159,7,-14.304,1,0.0288,0.917,0,0.109,0.184,80.045,200437,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Meri Baaton Mein Tu,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Meri Baaton Mein Tu,61,0.623,0.454,0,-9.813,1,0.0302,0.431,0,0.144,0.228,142.884,214000,Anger,"Anger Management, Tension Release","Dynamic Rhythm, Complex Harmony, High Intensity"
"Rangisari (From ""Jugjugg Jeeyo"")",Kanishk Seth,55,"['desi pop', 'hindi indie', 'indian indie', 'modern bollywood']","Rangisari (From ""Jugjugg Jeeyo"")",61,0.524,0.758,10,-9.28,1,0.0538,0.27,0.13,0.106,0.319,140.012,223271,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Bonita,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,67,0.81,0.914,1,-4.548,0,0.128,0.672,0,0.0848,0.873,108.037,178143,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,64,0.765,0.89,5,-4.608,0,0.0824,0.502,0,0.0423,0.918,99.961,226696,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Baazigar,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Gunehgar,58,0.816,0.767,5,-3.592,1,0.323,0.0346,0,0.228,0.835,141.769,169014,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Sunday,Aditya A,61,"['desi pop', 'hindi indie']",Sunday,56,0.405,0.56,1,-8.869,1,0.0766,0.819,0.00844,0.162,0.608,128.258,144923,neutral,neutral,neutral
Joota Japani,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Joota Japani,59,0.787,0.864,7,-4.665,1,0.0926,0.232,8.97E-05,0.107,0.877,129.933,155076,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
No Cap,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",No Cap,59,0.888,0.782,9,-6.195,0,0.21,0.23,0,0.315,0.82,118.017,205423,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Lungi Dance,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Lungi Dance,60,0.684,0.958,1,-4.793,1,0.264,0.314,1.94E-06,0.618,0.817,163.95,275399,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Jalsa Jalsa,Baba Sehgal,54,"['desi hip hop', 'hindi hip hop']",Jalsa,57,0.922,0.906,7,-8.513,1,0.144,0.339,0.000163,0.099,0.808,111.963,258384,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
SHUTDOWN,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",SHUTDOWN,56,0.818,0.584,3,-11.796,0,0.163,0.612,5.04E-05,0.108,0.947,149.968,116307,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Galat Karam,Panther,53,"['desi hip hop', 'hindi hip hop']",Flying Towards The City,56,0.928,0.87,4,-3.911,0,0.283,0.118,0,0.139,0.694,95.01,193263,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Haseeno Ka Deewana,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Kaabil,56,0.583,0.94,4,-2.44,0,0.0816,0.163,8.28E-05,0.577,0.492,136.056,229208,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Dil Chori,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Sonu Ke Titu Ki Sweety,60,0.765,0.89,5,-4.608,0,0.0824,0.502,0,0.0423,0.918,99.961,226696,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
OOPS,King,70,"['desi pop', 'hindi hip hop']",Champagne Talk,56,0.918,0.673,0,-5.084,1,0.184,0.314,0,0.0555,0.828,99.952,163200,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Sunny Sunny,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yaariyan,58,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Party All Night,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Boss,58,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,282792,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Rangisari,Kanishk Seth,55,"['desi pop', 'hindi indie', 'indian indie', 'modern bollywood']",Jugjugg Jeeyo,59,0.524,0.758,10,-9.28,1,0.0538,0.27,0.13,0.106,0.319,140.012,223271,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
I Guess,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",I Guess,59,0.83,0.905,8,-5.018,0,0.237,0.172,0,0.153,0.926,137.953,186086,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Urvashi,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Urvashi,56,0.792,0.703,0,-4.343,1,0.0368,0.195,0,0.072,0.634,105.995,215483,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Chhote Chhote Peg,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Sonu Ke Titu Ki Sweety,56,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,203881,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Satya,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,57,0.598,0.804,2,-5.39,1,0.123,0.0576,0,0.252,0.322,139.737,182640,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
F*CK WHAT THEY SAY,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,59,0.518,0.725,8,-5.048,1,0.244,0.32,0,0.328,0.596,102.822,292439,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Chora Baba Ka,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Chora Baba Ka,57,0.805,0.58,1,-7.477,1,0.0555,0.109,0.00069,0.329,0.42,96.048,175624,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
GRIND,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",GRIND,57,0.848,0.735,1,-4.661,1,0.0445,0.291,0,0.0713,0.57,98.973,175449,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Maula,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Maula,58,0.41,0.325,7,-11.303,1,0.0305,0.685,0,0.12,0.359,113.353,238000,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
Udd Gaye,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Ved,59,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,180413,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
6:00 AM,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,56,0.652,0.853,11,-4.365,0,0.0964,0.133,0,0.312,0.189,89.971,175169,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Rangi Saari,Kavita Seth,64,"['filmi', 'hindi indie', 'modern bollywood', 'sufi']",Rangi Saari,57,0.613,0.685,10,-7.993,1,0.0419,0.212,0.0615,0.0926,0.268,139.985,214000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Kaam 25 - Sacred Games,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Kaam 25 (Sacred Games),59,0.484,0.948,1,-4.296,0,0.451,0.0473,0,0.0565,0.686,125.645,149524,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Mulaqat,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mulaqat,57,0.717,0.182,4,-13.629,1,0.0355,0.736,0.000248,0.0746,0.232,81.99,246519,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
"Kalaastar (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,57,0.812,0.832,1,-3.333,0,0.0499,0.0659,0,0.0719,0.594,94.973,207789,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Ocean,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Ocean,56,0.72,0.237,3,-11.665,1,0.0415,0.963,0,0.0952,0.606,125.334,252624,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Luka Chippi,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,56,0.712,0.761,7,-6.846,1,0.37,0.399,0,0.142,0.722,152.85,141568,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Fugly,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Fugly,56,0.89,0.717,1,-5.858,1,0.0401,0.112,0.063,0.0402,0.658,100.034,153623,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Yalgaar,Ajey Nagar (CarryMinati),48,['hindi hip hop'],Yalgaar (Original),56,0.726,0.818,6,-6.522,0,0.176,0.538,1.01E-06,0.111,0.812,92.033,195652,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Nanchaku,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",न,57,0.81,0.66,2,-8.791,1,0.316,0.141,0,0.173,0.443,140.081,193116,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Ghana Kasoota (feat. Surbhi Jyoti),Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Ghana Kasoota (feat. Surbhi Jyoti),59,0.877,0.781,5,-4.459,0,0.0548,0.0315,0.000397,0.239,0.373,102.994,168640,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Saiyaan Ji,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Saiyaan Ji,56,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.10E-05,0.11,0.604,130.024,205450,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
100 Million,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",100 Million,58,0.598,0.837,10,-4.83,0,0.299,0.185,1.83E-06,0.191,0.893,85.075,192479,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Issey Kehte Hain Hip Hop,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Issey Kehte Hain Hip Hop,56,0.911,0.608,4,-5.438,0,0.249,0.283,1.34E-06,0.113,0.652,100.013,194168,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Chhori,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,57,0.916,0.703,1,-7.739,0,0.109,0.528,0.000108,0.0781,0.88,93.01,148051,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Paris Ka Trip,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Paris Ka Trip,57,0.814,0.723,7,-5.638,1,0.235,0.178,0,0.0445,0.768,74.981,196430,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
4AM in Karachi,Talha Anjum,71,"['desi hip hop', 'hindi hip hop', 'pakistani hip hop', 'urdu hip hop']",Worth The Wait,58,0.695,0.293,10,-8.438,1,0.698,0.597,0,0.117,0.13,121.511,208695,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
